1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
61	129.98	212.82	30	0.399871	0.5029235	0.286983	6.381224824	0	0	3.898197	0	37.34143409	287.6104623	2.693632889	1.214363013	1.02596394	6.814912139	1.880952297	0.270098507	1.610853791	2.467812283	-0.856958492	0.856958492	0	-0.2	195.5498465	59.27381759	59.27381759
62	115.8	133.35	30	0.4707343	0.2932793	0.2821743	6.416250418	0	0	2.696163	0	38.34552026	286.1031238	2.921967476	1.106739611	0.59828967	6.336483364	1.709486608	0.270098507	1.439388101	2.467812283	-1.028424182	1.028424182	0	-0.05	35.43979779	30.86056017	30.86056017
63	105.24	79.48	30	0.554076	0.279236	0.3095123	6.416250418	0	0	0.748533	0	37.88356437	280.8914528	3.068483072	0.806270337	0.56964144	6.045494864	1.601100014	0.270098507	1.331001508	2.467812283	-1.136810775	1.136810775	0	-0.1	38.3343545	19.13420926	19.13420926
64	105.64	79.48	30	0.4980225	0.3564808	0.3123435	6.346199239	0	0	0.916401	0	37.31246887	276.8409143	2.846000439	0.426788894	0.72722073	6.20878245	2.208772387	0.270098507	1.93867388	2.467812283	-0.529138403	0.529138403	0	-0.15	1.874911337	1.545070037	1.545070037
65	129.15	133.35	30	0.5078065	0.346026	0.3309655	6.532272684	0	0	0.664944	0	36.09704148	260.0219096	3.33073732	0.105453764	0.70589304	6.582249811	2.440165686	0.270098507	2.17006718	2.467812283	-0.297745103	0.297745103	0	-0.35	0	0	0
66	166.83	159.84	80	0.6128453	0.3008365	0.3294418	6.490679798	0	0	0.631887	0	34.18165721	264.1008179	4.722852225	0	0.61370646	7.791040451	2.454481766	0.270098507	2.184383259	2.467812283	-0.283429024	0.283429024	0	-0.6	0	0	0
67	187.78	159.84	80	0.727973	0.1140698	0.4229825	6.267391658	0	0	0.378198	0	34.92703671	278.1288921	5.0063469	0	0.23270229	7.627881336	2.388832146	0.270098507	2.118733639	2.467812283	-0.349078644	0.349078644	0	-0.7	0	0	0
68	168.89	133.35	80	0.7030353	0.0828825	0.6728113	5.590959938	0	0	0.086988	0	34.99741662	301.2803522	5.094126215	0	0.1690803	7.408837012	2.145630498	0.270098507	1.875531991	2.467812283	-0.592280292	0.592280292	0	-0.95	0	0	0
69	141.53	106.85	80	0.742507	0.0686525	0.9482943	4.027942948	0	0	0	0	36.04209158	310.2496157	4.460381238	0	0.1400511	7.319677622	2.719245284	0.270098507	2.449146777	2.467812283	-0.018665506	0.018665506	0	-1.35	0	0	0
70	117.13	52.99	80	0.8988493	0.0666025	1.1999063	4.301580375	0	0	0	0	36.54209974	306.765467	4.176344716	0	0.1358691	6.846002301	2.533788485	0.270098507	2.263689979	2.467812283	-0.204122304	0.204122304	0	-2.15	0	0	0
71	86.74	52.99	80	0.9841335	0.0539185	1.3684873	3.865949587	0	0	0	0	36.40264321	305.0952402	4.105471047	0	0.10999374	7.156518507	2.94105372	0.270098507	2.670955213	2.467812283	0.20314293	0	0.20314293	-3.35	0	0	0
72	58.53	26.49	80	0.9553203	0.0611625	1.4181448	3.154492272	0	0	0	0	36.64594855	307.8010515	3.345150467	0	0.1247715	7.003637131	3.533715165	0.270098507	3.263616658	2.467812283	0.795804375	0	0.795804375	-4.35	0	0	0
73	43.29	26.49	80	0.8408198	0.0573323	1.4326955	2.926825932	0	0	0	0	36.51876498	311.6110287	2.645625189	0	0.11695779	7.082904198	4.320321218	0.270098507	4.050222712	2.467812283	1.582410428	0	1.582410428	-5.2	0	0	0
74	39.71	26.49	80	0.9519843	0.1434215	1.5130378	2.756076179	0	0	0.138705	0	36.84653682	293.769116	3.174793575	0	0.29257986	6.724468031	3.257094596	0.270098507	2.98699609	2.467812283	0.519183806	0	0.519183806	-5.5	0	0	0
75	38.65	52.99	80	1.0060098	0.5685138	1.616501	2.213179516	0	0	0.619293	0	34.60482787	246.7366064	3.185197049	0	1.15976805	6.559510312	2.214545213	0.270098507	1.944446706	2.467812283	-0.523365577	0.523365577	0	-5.05	0	0	0
76	39.28	52.99	80	1.0583038	1.080774	1.70603	2.099346351	0	0	2.403051	0	32.01014832	217.5310491	2.738497871	0	2.20478304	6.171268701	1.22798779	0.270098507	0.957889283	2.467812283	-1.509923	1.509923	0	-4.2	0	0	0
77	47.06	106.85	80	1.022057	1.4241613	1.7853793	2.329201791	0	0	3.208098	0	30.3880052	203.1605199	2.562939243	0	2.9052915	6.16304651	0.694815767	0.270098507	0.42471726	2.467812283	-2.043095023	2.043095023	0	-3.95	0	0	0
78	90.43	159.84	80	0.975303	1.639042	1.8423483	2.276663404	0	0	4.025442	0	29.50745324	198.7292476	2.40190213	0	3.3436467	6.253876033	0.508327203	0.270098507	0.238228696	2.467812283	-2.229583587	2.229583587	0	-4.2	0	0	0
79	129.91	266.69	80	1.0283238	1.6717838	1.7599858	2.182532132	0	0	4.401297	0	29.31812732	210.8055189	2.473859494	0	3.4104363	6.468295374	0.58399958	0.270098507	0.313901073	2.467812283	-2.15391121	2.15391121	0	-4.1	0	0	0
